date,cota
17/12/2011,220
18/12/2011,220
19/12/2011,220
20/12/2011,220
21/12/2011,220
22/12/2011,220
23/12/2011,220
24/12/2011,220
25/12/2011,220
26/12/2011,220
27/12/2011,220
28/12/2011,220
29/12/2011,220
30/12/2011,220
31/12/2011,220
01/01/2012,220
02/01/2012,220
03/01/2012,220
04/01/2012,220
05/01/2012,220
06/01/2012,220
07/01/2012,220
08/01/2012,220
09/01/2012,220
10/01/2012,220
11/01/2012,220
12/01/2012,220
13/01/2012,220
14/01/2012,220
15/01/2012,220
16/01/2012,220
17/01/2012,220
18/01/2012,220
19/01/2012,220
20/01/2012,220
21/01/2012,220
22/01/2012,220
23/01/2012,220
24/01/2012,220
25/01/2012,220
26/01/2012,220
27/01/2012,220
28/01/2012,220
29/01/2012,220
30/01/2012,220
31/01/2012,220
01/02/2012,220
02/02/2012,220
03/02/2012,220
04/02/2012,220
05/02/2012,220
06/02/2012,220
07/02/2012,220
08/02/2012,220
09/02/2012,220
10/02/2012,220
11/02/2012,220
12/02/2012,220
13/02/2012,220
14/02/2012,220
15/02/2012,220
16/02/2012,220
17/02/2012,220
18/02/2012,220
19/02/2012,220
20/02/2012,220
21/02/2012,220
22/02/2012,220
23/02/2012,220
24/02/2012,220
25/02/2012,220
26/02/2012,220
27/02/2012,220
28/02/2012,220
29/02/2012,220
01/03/2012,220
02/03/2012,220
03/03/2012,220
04/03/2012,220
05/03/2012,220
06/03/2012,220
07/03/2012,220
08/03/2012,220
09/03/2012,220
10/03/2012,220
11/03/2012,220
12/03/2012,220
13/03/2012,220
14/03/2012,220
15/03/2012,220
16/03/2012,220
17/03/2012,220
18/03/2012,220
19/03/2012,220
20/03/2012,220
21/03/2012,220
22/03/2012,220
23/03/2012,220
24/03/2012,220
25/03/2012,220
26/03/2012,220
27/03/2012,220
28/03/2012,220
29/03/2012,220
30/03/2012,220
31/03/2012,220
01/04/2012,220
02/04/2012,220
03/04/2012,220
04/04/2012,220
05/04/2012,220
06/04/2012,220
07/04/2012,220
08/04/2012,220
09/04/2012,220
10/04/2012,220
11/04/2012,220
12/04/2012,220
13/04/2012,220
14/04/2012,220
15/04/2012,220
16/04/2012,220
17/04/2012,220
18/04/2012,220
19/04/2012,220
20/04/2012,220
21/04/2012,220
22/04/2012,220
23/04/2012,220
24/04/2012,220
25/04/2012,220
26/04/2012,220
27/04/2012,220
28/04/2012,220
29/04/2012,220
30/04/2012,220
01/05/2012,220
02/05/2012,220
03/05/2012,220
04/05/2012,220
05/05/2012,220
06/05/2012,220
07/05/2012,220
08/05/2012,220
09/05/2012,220
10/05/2012,220
11/05/2012,220
12/05/2012,220
13/05/2012,220
14/05/2012,220
15/05/2012,220
16/05/2012,220
17/05/2012,220
18/05/2012,220
19/05/2012,220
20/05/2012,220
21/05/2012,220
22/05/2012,220
23/05/2012,220
24/05/2012,220
25/05/2012,220
26/05/2012,220
27/05/2012,220
28/05/2012,220
29/05/2012,220
30/05/2012,220
31/05/2012,220
01/06/2012,220
02/06/2012,220
03/06/2012,220
04/06/2012,220
05/06/2012,220
06/06/2012,220
07/06/2012,220
08/06/2012,220
09/06/2012,220
10/06/2012,220
11/06/2012,220
12/06/2012,220
13/06/2012,220
14/06/2012,220
15/06/2012,220
16/06/2012,220
17/06/2012,220
18/06/2012,220
19/06/2012,220
20/06/2012,220
21/06/2012,220
22/06/2012,220
23/06/2012,220
24/06/2012,220
25/06/2012,220
26/06/2012,220
27/06/2012,220
28/06/2012,220
29/06/2012,220
30/06/2012,220
01/07/2012,220
02/07/2012,220
03/07/2012,220
04/07/2012,220
05/07/2012,220
06/07/2012,220
07/07/2012,220
08/07/2012,220
09/07/2012,220
10/07/2012,220
11/07/2012,220
12/07/2012,220
13/07/2012,220
14/07/2012,220
15/07/2012,220
16/07/2012,220
17/07/2012,220
18/07/2012,220
19/07/2012,220
20/07/2012,220
21/07/2012,220
22/07/2012,220
23/07/2012,220
24/07/2012,220
25/07/2012,220
26/07/2012,220
27/07/2012,220
28/07/2012,220
29/07/2012,220
30/07/2012,220
31/07/2012,220
01/08/2012,220
02/08/2012,220
03/08/2012,220
04/08/2012,220
05/08/2012,220
06/08/2012,220
07/08/2012,220
08/08/2012,220
09/08/2012,220
10/08/2012,220
11/08/2012,220
12/08/2012,220
13/08/2012,220
14/08/2012,220
15/08/2012,220
16/08/2012,220
17/08/2012,220
18/08/2012,220
19/08/2012,220
20/08/2012,220
21/08/2012,220
22/08/2012,220
23/08/2012,220
24/08/2012,220
25/08/2012,220
26/08/2012,220
27/08/2012,220
28/08/2012,220
29/08/2012,220
30/08/2012,220
31/08/2012,220
01/09/2012,220
02/09/2012,220
03/09/2012,220
04/09/2012,220
05/09/2012,220
06/09/2012,220
07/09/2012,220
08/09/2012,220
09/09/2012,220
10/09/2012,220
11/09/2012,220
12/09/2012,220
13/09/2012,220
14/09/2012,220
15/09/2012,220
16/09/2012,220
17/09/2012,220
18/09/2012,218
19/09/2012,218
21/09/2012,220
22/09/2012,220
23/09/2012,220
24/09/2012,220
25/09/2012,220
26/09/2012,220
27/09/2012,218
28/09/2012,218
29/09/2012,218
30/09/2012,220
01/10/2012,220
02/10/2012,220
03/10/2012,218
04/10/2012,218
05/10/2012,220
06/10/2012,220
07/10/2012,220
08/10/2012,220
09/10/2012,220
10/10/2012,218
11/10/2012,218
12/10/2012,218
13/10/2012,218
14/10/2012,218
15/10/2012,218
16/10/2012,218
17/10/2012,218
18/10/2012,218
19/10/2012,218
20/10/2012,218
21/10/2012,218
22/10/2012,218
23/10/2012,218
24/10/2012,218
25/10/2012,218
26/10/2012,218
27/10/2012,218
28/10/2012,218
29/10/2012,218
30/10/2012,218
31/10/2012,218
01/11/2012,218
02/11/2012,218
03/11/2012,218
04/11/2012,218
05/11/2012,218
06/11/2012,218
07/11/2012,218
08/11/2012,218
09/11/2012,218
10/11/2012,218
11/11/2012,218
12/11/2012,218
13/11/2012,218
14/11/2012,218
15/11/2012,218
16/11/2012,218
17/11/2012,218
18/11/2012,218
19/11/2012,218
20/11/2012,218
21/11/2012,217
22/11/2012,217
23/11/2012,217
24/11/2012,217
25/11/2012,217
26/11/2012,217
27/11/2012,217
28/11/2012,217
29/11/2012,217
30/11/2012,217
01/12/2012,217
02/12/2012,217
03/12/2012,217
04/12/2012,217
05/12/2012,217
06/12/2012,217
07/12/2012,217
08/12/2012,217
09/12/2012,217
10/12/2012,217
11/12/2012,217
12/12/2012,217
13/12/2012,217
14/12/2012,217
15/12/2012,217
16/12/2012,217
17/12/2012,217
18/12/2012,216
19/12/2012,216
20/12/2012,216
21/12/2012,216
22/12/2012,217
23/12/2012,217
24/12/2012,217
25/12/2012,217
26/12/2012,216
27/12/2012,216
28/12/2012,216
29/12/2012,216
30/12/2012,216
31/12/2012,216
01/01/2013,216
02/01/2013,216
03/01/2013,216
04/01/2013,216
05/01/2013,216
06/01/2013,216
07/01/2013,216
08/01/2013,216
